sortType,cost,file,sorted,preProcessTime,sortTime
m,e,C/1,True,0.00027901400000000104,3.1340000000018575e-06
m,e,C/1,True,0,2.640000000001669e-06
m,e,C/1,True,0,3.3169999999992095e-06
m,e,C/1,True,0,4.150000000001375e-06
m,e,C/1,True,0,3.495999999998667e-06
m,e,C/1,True,0,3.1429999999971203e-06
m,e,C/1,True,0,3.638000000000252e-06
m,e,C/1,True,0,3.049000000001495e-06
m,e,C/1,True,0,3.1370000000002785e-06
m,e,C/1,True,0,2.9689999999985006e-06
m,e,C/1,True,0,2.8050000000015562e-06
m,e,C/1,True,0,2.6930000000015275e-06
m,e,C/1,True,0,2.9149999999991683e-06
m,e,C/2,True,0.00029274900000000187,9.276700000000054e-05
m,e,C/2,True,0,0.00015628499999999906
m,e,C/2,True,0,9.98700000000019e-05
m,e,C/2,True,0,0.00013559299999999982
m,e,C/2,True,0,0.0001676709999999977
m,e,C/2,True,0,0.00014789899999999995
m,e,C/2,True,0,0.00016191399999999911
m,e,C/2,True,0,0.00014899500000000246
m,e,C/2,True,0,0.00010415999999999898
m,e,C/2,True,0,0.0001315440000000008
m,e,C/2,True,0,9.654400000000049e-05
m,e,C/2,True,0,0.00013330199999999834
m,e,C/2,True,0,0.00010218999999999853
m,e,C/4,True,0.0004902529999999995,0.0003053840000000023
m,e,C/4,True,0,0.0002896999999999969
m,e,C/4,True,0,0.00032805399999999776
m,e,C/4,True,0,0.00032379800000000014
m,e,C/4,True,0,0.0003285529999999988
m,e,C/4,True,0,0.00032106499999999885
m,e,C/4,True,0,0.00037657099999999916
m,e,C/4,True,0,0.00031942199999999976
m,e,C/4,True,0,0.000333079
m,e,C/4,True,0,0.000320995999999997
m,e,C/4,True,0,0.00033483899999999997
m,e,C/4,True,0,0.0002913060000000016
m,e,C/4,True,0,0.0003806340000000012
m,e,C/8,True,0.0006716649999999984,0.0009398190000000015
m,e,C/8,True,0,0.0008119080000000001
m,e,C/8,True,0,0.0009137700000000012
m,e,C/8,True,0,0.0008680359999999991
m,e,C/8,True,0,0.0008814410000000002
m,e,C/8,True,0,0.0009163690000000002
m,e,C/8,True,0,0.0008809840000000013
m,e,C/8,True,0,0.001043996999999998
m,e,C/8,True,0,0.0008765379999999962
m,e,C/8,True,0,0.0008687409999999993
m,e,C/8,True,0,0.0008393169999999991
m,e,C/8,True,0,0.0007452600000000045
m,e,C/8,True,0,0.000923215000000005
m,e,C/16,True,0.0011306890000000007,0.002582873999999999
m,e,C/16,True,0,0.0023721160000000005
m,e,C/16,True,0,0.002233958000000001
m,e,C/16,True,0,0.0023993730000000033
m,e,C/16,True,0,0.0021625889999999995
m,e,C/16,True,0,0.0024042799999999948
m,e,C/16,True,0,0.002215204999999998
m,e,C/16,True,0,0.0020324720000000004
m,e,C/16,True,0,0.0022830110000000015
m,e,C/16,True,0,0.0023263359999999983
m,e,C/16,True,0,0.002219818999999998
m,e,C/16,True,0,0.002412865
m,e,C/16,True,0,0.0023082369999999977
m,e,C/32,True,0.0022509770000000012,0.005392853999999999
m,e,C/32,True,0,0.005353506999999997
m,e,C/32,True,0,0.005548273999999999
m,e,C/32,True,0,0.005815866000000003
m,e,C/32,True,0,0.004997491
m,e,C/32,True,0,0.005362453000000003
m,e,C/32,True,0,0.005731813000000002
m,e,C/32,True,0,0.005326481000000008
m,e,C/32,True,0,0.005293411999999997
m,e,C/32,True,0,0.005440372999999998
m,e,C/32,True,0,0.0060190150000000026
m,e,C/32,True,0,0.005559288999999995
m,e,C/32,True,0,0.005427309000000005
m,e,C/64,True,0.004581692000000002,0.013281894999999998
m,e,C/64,True,0,0.012790334
m,e,C/64,True,0,0.013064751000000006
m,e,C/64,True,0,0.019224310999999994
m,e,C/64,True,0,0.012885912
m,e,C/64,True,0,0.013599861000000005
m,e,C/64,True,0,0.012648114000000002
m,e,C/64,True,0,0.012925999999999993
m,e,C/64,True,0,0.012793742999999996
m,e,C/64,True,0,0.012810735000000018
m,e,C/64,True,0,0.014528300999999993
m,e,C/64,True,0,0.013074351000000012
m,e,C/64,True,0,0.01288019600000001
m,e,C/128,True,0.009268278000000001,0.02896298
m,e,C/128,True,0,0.028227217
m,e,C/128,True,0,0.028463438999999993
m,e,C/128,True,0,0.02810232899999998
m,e,C/128,True,0,0.02754398999999999
m,e,C/128,True,0,0.027392705000000017
m,e,C/128,True,0,0.02736303300000001
m,e,C/128,True,0,0.028862331999999963
m,e,C/128,True,0,0.02959033900000002
m,e,C/128,True,0,0.029494372000000046
m,e,C/128,True,0,0.02764663300000003
m,e,C/128,True,0,0.03047145899999998
m,e,C/128,True,0,0.028690888999999997
m,e,C/256,True,0.016193251999999998,0.064111171
m,e,C/256,True,0,0.06474028300000001
m,e,C/256,True,0,0.06431002
m,e,C/256,True,0,0.06617406799999997
m,e,C/256,True,0,0.063205489
m,e,C/256,True,0,0.06463789999999997
m,e,C/256,True,0,0.07002050500000001
m,e,C/256,True,0,0.06453113300000002
m,e,C/256,True,0,0.06681651799999999
m,e,C/256,True,0,0.06502003199999995
m,e,C/256,True,0,0.07214971800000003
m,e,C/256,True,0,0.06736631000000004
m,e,C/256,True,0,0.06166732199999991
m,e,C/512,True,0.031853933,0.15620902
m,e,C/512,True,0,0.15964837800000004
m,e,C/512,True,0,0.15415181400000005
m,e,C/512,True,0,0.149847854
m,e,C/512,True,0,0.14697569
m,e,C/512,True,0,0.15284803400000002
m,e,C/512,True,0,0.159226737
m,e,C/512,True,0,0.14431240699999992
m,e,C/512,True,0,0.15756670800000006
